,Gene Name,Statistic,pvalue_x,pvalue_y
231,C1orf124,2.719425594650942,0.00653954058163294,0.0013464926550954
232,CNKSR3,2.717618667345526,0.0065753571750285875,0.0006628000989892
233,ASPHD1,-2.717618667345526,0.0065753571750285875,0.0084190769406376
234,ZNF330,2.71581174004011,0.006611350079705891,0.0339827066711295
235,TRPC3,2.7140048127346943,0.006647520045482713,0.0074211057596681
236,ATF6,2.7085840308184466,0.006757099845562718,0.0150732540912871
237,MCCC2,2.7067771035130304,0.006793985604583228,0.0256255157583731
238,TALDO1,-2.7049701762076146,0.0068310522118368916,0.0071167175442
239,LOC389634,-2.7013563215967826,0.006905731033886769,0.0092786598154342
240,CHCHD10,-2.699549394291367,0.00694334478650887,0.0077918760841264
241,PEX7,2.697742466985951,0.006981142463025922,0.0384506811639335
242,FILIP1L,2.695935539680535,0.007019124838777693,0.005069245291183
243,TSPYL5,-2.694128612375119,0.007057292691683645,0.0277643536117349
244,GTF2H3,2.6923216850697034,0.007095646802247903,0.0015999166090251
245,SNCB,-2.6887078304588714,0.007172916931320802,2.0258983131133e-05
246,FBXO30,2.6869009031534556,0.007211834523805484,0.0053943319327008
247,NSUN5,-2.6850939758480394,0.007250941521910412,0.0051055601069907
248,UQCRC1,-2.6850939758480394,0.007250941521910412,0.0160364045117765
249,KCTD18,2.6850939758480394,0.007250941521910412,0.0024329477619891
250,ZBTB24,2.6832870485426237,0.007290238719137083,0.0127743707752509
251,PHF10,2.681480121237208,0.007329726911601216,0.0130860984330836
252,CYP1A1,-2.681480121237208,0.007329726911601216,0.0228459153730466
253,RBPJL,-2.681480121237208,0.007329726911601216,0.0005710500906989
254,RHBDD2,-2.6796731939317917,0.007369406898037673,0.0001193698468603
255,SYT5,-2.674252412015544,0.007489605647918605,7.6876523107118e-05
256,TNKS2,2.674252412015544,0.007489605647918605,0.023727092189658
257,C5orf51,2.672445484710128,0.00753006085014581,0.0389657678853488
258,HNRNPUL2-BSCL2,2.6652177754884647,0.00769384808888066,0.0440545720844143
259,C3orf30,-2.6634108481830485,0.007735290598699175,0.021745026996209
260,PRRX1,2.659796993572217,0.007818776225524817,0.0322140226930336
261,KCNS1,-2.659796993572217,0.007818776225524817,0.0011462945349646
262,ZDHHC12,-2.659796993572217,0.007818776225524817,0.0262300520031109
263,DUSP15,-2.657990066266801,0.007860821000939017,0.0064732659288821
264,LGI4,-2.657990066266801,0.007860821000939017,0.020194405166475
265,LOC285401,2.657990066266801,0.007860821000939017,0.0257068663820262
266,CPXCR1,2.656183138961385,0.007903068194425183,2.68675977150918e-05
267,PLD3,-2.6489554297397215,0.008074097907689674,0.0286503454116456
268,RAP1GAP,-2.6489554297397215,0.008074097907689674,0.0052334603964298
269,ERICH1,2.6489554297397215,0.008074097907689674,0.0239572720552591
270,ABHD12,-2.6471485024343053,0.008117369784083023,0.0017955724219396
271,CDH22,-2.6453415751288896,0.008160849134471312,0.0141567976781587
272,NR3C1,2.643534647823474,0.008204536810982242,0.0092970548787181
273,ARID4B,2.6417277205180576,0.008248433668462767,0.0199891554124759
274,DAGLB,-2.639920793212642,0.008292540564483692,0.0207644075339973
275,PIAS3,2.639920793212642,0.008292540564483692,0.0013038877474998
276,BTN2A3P,2.638113865907226,0.008336858359344345,0.0061559699115403
277,ABCB8,-2.63630693860181,0.008381387916077154,0.0013658133831578
278,LAMP5,-2.634500011296394,0.008426130100452215,0.0003122207622718
279,ALKBH4,-2.634500011296394,0.008426130100452215,0.0005187438320852
280,SNAP25,-2.634500011296394,0.008426130100452215,2.54736603988619e-05
281,RSU1,2.634500011296394,0.008426130100452215,0.0065599524035053
282,GP6,-2.630886156685562,0.008516255828925451,0.000313670030899
283,IFT81,2.6254653747693144,0.008653060931129105,0.0069576453367436
284,CTTNBP2NL,2.6236584474638986,0.008699097216415626,0.0181444554496868
285,JRKL,2.6236584474638986,0.008699097216415626,0.0065913412846377
286,IZUMO1,2.621851520158483,0.008745352266773166,0.0006153556187484
287,CNPY3,-2.6200445928530667,0.008791826970036956,0.0093877014572614
288,MOB2,-2.618237665547651,0.008838522216820532,0.0115247902440653
289,SLC27A4,-2.6146238109368194,0.008932577917319788,0.0081469000886396
290,TTC29,2.6146238109368194,0.008932577917319788,0.0002841265173793
291,DTNB,-2.612816883631403,0.008979940166194342,0.00210495033541
292,ATE1,2.612816883631403,0.008979940166194342,0.0366790367732543
293,MINA,2.612816883631403,0.008979940166194342,0.0033116385368251
294,TAS2R1,2.612816883631403,0.008979940166194342,0.0183842274265494
295,SLC4A1AP,2.6110099563259874,0.009027526548915222,0.0401160393400194
296,TRIP12,2.6092030290205717,0.009075337970054182,0.0305491234055747
297,SOX21,2.6092030290205717,0.009075337970054182,0.0316028956188732
298,PHEX,2.6073961017151555,0.009123375336987755,0.0023532408337323
299,NRXN3,-2.6073961017151555,0.009123375336987755,0.0077844047666414
300,TARS,2.6055891744097397,0.00917163955990163,0.0427121271364677
301,THRAP3,2.603782247104324,0.009220131551794965,0.0330501496697923
302,PANX2,-2.603782247104324,0.009220131551794965,0.00143244669038
303,CPLX1,-2.6019753197989077,0.009268852228484772,0.0004305979897436
304,ZNF354C,2.6019753197989077,0.009268852228484772,0.0197232050093295
305,PRODH,-2.6019753197989077,0.009268852228484772,0.0131564133031912
306,DHX15,2.6019753197989077,0.009268852228484772,0.0075013590592532
307,CGGBP1,2.600168392493492,0.009317802508610092,0.0377099829654227
308,ZNF717,2.600168392493492,0.009317802508610092,0.0082005817068428
309,FAHD2A,-2.598361465188076,0.009366983313636407,0.0091221608420624
310,EPC1,2.59655453788266,0.00941639556785985,0.0037230861278762
311,SEC14L3,2.59655453788266,0.00941639556785985,0.0044680358156053
312,DGKZ,-2.5947476105772442,0.009466040198411449,0.0039834603093061
313,ALKBH8,2.5947476105772442,0.009466040198411449,0.0044180140587265
314,GAMT,-2.5929406832718285,0.009515918135261373,0.012042473908831
315,KIAA1045,-2.5929406832718285,0.009515918135261373,0.0001274262221775
316,RPS6KB1,2.5911337559664123,0.00956603031122318,0.0176584992182534
317,PGBD5,-2.5875199013555807,0.00966696112597851,0.0208789059139059
318,OSGIN2,2.5875199013555807,0.00966696112597851,0.0065895330556613
319,HIF1A,2.5875199013555807,0.00966696112597851,0.0042673325490945
320,SLC25A22,-2.5875199013555807,0.00966696112597851,0.0038053954133382
321,STXBP4,2.5857129740501645,0.009717781644653619,0.0059680247709611
322,LARP1B,2.5857129740501645,0.009717781644653619,0.0030404935281419
323,RP1,2.5857129740501645,0.009717781644653619,0.0457407719471402
324,C1orf55,2.5857129740501645,0.009717781644653619,0.0082020278505745
325,HNRPDL,2.5839060467447488,0.009768840162212074,0.0071018837215507
326,ABHD16A,-2.5839060467447488,0.009768840162212074,0.0069160023132334
327,ATP6V0C,-2.582099119439333,0.009820137625746827,0.0022184853783108
328,CTAGE1,2.582099119439333,0.009820137625746827,0.0015615444033088
329,SLC10A6,2.580292192133917,0.009871674985219172,0.0006132483199309
330,CLDN23,-2.5766783375230853,0.009975473206187599,0.0019715874959253
331,CEBPZ,2.574871410217669,0.010027735981984422,0.0294582270629835
332,ZW10,2.5730644829122533,0.010080242482328318,0.0069176156105905
333,CLN6,-2.5730644829122533,0.010080242482328318,0.0347616982459646
334,LOC100128264,-2.5694506283014213,0.010185990517004839,0.0040187606986239
335,PPIL4,2.5676437009960056,0.01023923398874655,0.0128301834597593
336,C4orf29,2.56583677369059,0.010292725059861514,0.0175326184725175
337,QRSL1,2.56583677369059,0.010292725059861514,0.0089971302403835
338,AGGF1,2.56583677369059,0.010292725059861514,0.01459681425908
339,MESTIT1,2.56583677369059,0.010292725059861514,0.0266838881943619
